criterion,splitter,max_depth,min_samples_split,class_weight,accuracy,precision_macro,recall_macro,f1_macro
gini,best,,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,,10,balanced,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,6.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,6.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,8.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,8.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,8.0,10,balanced,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,12.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,12.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,best,12.0,10,balanced,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,6.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,6.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,8.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,8.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,12.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,12.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,6.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,6.0,2,balanced,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,6.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,6.0,5,balanced,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,8.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,8.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,12.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,best,12.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,6.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,6.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,6.0,10,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,8.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,8.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,12.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
entropy,random,12.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,6.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,6.0,2,balanced,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,6.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,6.0,5,balanced,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,8.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,8.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,12.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,best,12.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,6.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,6.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,6.0,10,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,8.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,8.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,12.0,2,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
log_loss,random,12.0,5,,0.9558823529411765,0.9569189545885143,0.9686948853615519,0.9625093087217946
gini,random,6.0,10,,0.9509803921568627,0.9542465190580188,0.9656084656084656,0.959646674406241
gini,random,6.0,10,balanced,0.9509803921568627,0.95143379291674,0.9636443803110469,0.9572312447241705
gini,best,,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
gini,best,6.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
gini,best,6.0,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
gini,best,8.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
gini,best,12.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
gini,random,,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
gini,random,12.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,best,,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,best,6.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,best,6.0,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,best,8.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,best,12.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,random,,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,random,,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,random,8.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,random,8.0,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,random,12.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
entropy,random,12.0,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,best,,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,best,6.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,best,6.0,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,best,8.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,best,12.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,random,,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,random,,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,random,8.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,random,8.0,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,random,12.0,10,,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
log_loss,random,12.0,10,balanced,0.9509803921568627,0.9518561887414346,0.962742504409171,0.9568481568797824
gini,best,,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,best,,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,best,8.0,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,best,8.0,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,best,12.0,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,best,12.0,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,random,,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,random,,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,random,8.0,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,random,8.0,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,random,12.0,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
gini,random,12.0,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
entropy,best,,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
entropy,best,,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
entropy,best,8.0,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
entropy,best,8.0,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
entropy,best,12.0,2,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
entropy,best,12.0,5,balanced,0.946078431372549,0.9463236393113429,0.9634038800705467,0.9542641773024624
